wave	rownum	serial	area	upd1	lpd1	upd2	lpd2	upd3	lpd3	upd4	lpd4	upd5	lpd5	upd6	lpd6	upd7	lpd7	upd8	lpd8	ever	ucd1	lcd1	ucd2	lcd2	ucd3	lcd3	cd4	ucd5	lcd5	defu1	defl1	defu2	defl2	defu3	defl3	cd6	cd7	ucd8	lcd8	ucd9	lcd9	ucd10	lcd10	ucd11	lcd11	cd12	cd13
1	39	51074Q	32	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	4	1	1	1	1	1	0	0	0	0	0	0	1	1	1	2	1	1	1	1	1	1	1	1
1	39	51075R	32	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51076S	32	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51077T	32	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	1
1	39	51078V	32	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51079W	32	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	1
1	39	51080X	32	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	1	 	1	 	 	2	 	0	 	0	 	0	 	1	 	1	 	1	 	1	 	1	 	1	1
1	39	51081Y	33	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51082Z	33	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	1
1	39	51083A	33	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	3
1	39	51084B	33	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51087E	33	1	1	1	1	1	1	3	1	1	0	1	1	1	3	1	2	1	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51088F	33	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51089G	33	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	1	1	2
1	39	51090H	33	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	1	 	1	 	0	2	 	0	 	0	 	0	 	1	 	1	 	1	 	1	 	1	 	1	1
1	39	51091J	33	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	1	 	1	 	0	2	 	0	 	1	 	1	 	3	 	1	 	1	 	1	 	1	 	1	2
1	39	51092K	33	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	1	 	1	 	0	1	 	0	 	0	 	0	 	1	 	1	 	1	 	1	 	1	 	2	9
1	39	51093L	40	1	0	1	 	1	 	3	 	1	 	1	 	1	 	1	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51094M	40	0	1	 	1	 	1	 	1	 	1	 	1	 	1	 	1	0	1	0	1	 	1	 	0	1	 	1	 	0	 	0	 	1	 	1	 	1	 	1	 	1	 	2	1
1	39	51095N	40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	39	51096P	40	1	0	1	 	1	 	2	 	1	 	3	 	3	 	2	 	0	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51097Q	40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51098R	40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51099S	40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	1	2	1
1	39	51100T	40	0	1	 	1	 	1	 	2	 	1	 	1	 	1	 	1	1	1	0	1	 	1	 	1	1	 	0	 	0	 	0	 	1	 	1	 	1	 	1	 	1	 	1	1
1	39	51101V	40	1	0	1	 	1	 	3	 	1	 	3	 	3	 	2	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51102W	40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51103X	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	3	1	1	2	1	1	1	1	1	1	2	2
1	39	51104Y	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	2	2	2	2	1	2	2	1
1	39	51105Z	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	2	1	1	2	2	2	2	2	2	2	2	1
1	39	51107B	41	0	1	0	 	0	 	 	3	 	1	 	1	 	1	 	1	0	1	0	1	0	1	 	1	1	 	0	 	0	 	0	 	2	 	1	 	2	 	1	 	1	 	1	1
1	39	51108C	41	1	0	1	 	1	 	2	 	1	 	1	 	1	 	1	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51109D	41	1	 	1	 	1	 	2	 	1	 	3	 	3	 	1	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51110E	41	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	1	 	1	 	0	1	 	0	 	0	 	0	 	1	 	1	 	2	 	1	 	1	 	1	1
1	39	51111F	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51112G	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	39	51113H	48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3	1	1	1	1	1	1	2	1	1	1	1
1	39	51114J	48	1	0	1	 	1	 	2	 	1	 	1	 	1	 	1	 	0	0	0	 	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51115K	48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51116L	48	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51117M	48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	2	1	2	1	1	1	1	1	1
1	39	51118N	48	1	0	1	 	1	 	3	 	0	 	1	 	1	 	1	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51119P	48	1	0	1	 	1	 	2	 	1	 	1	 	1	 	1	 	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51120Q	48	0	1	0	1	 	1	 	1	 	0	 	1	 	1	 	1	1	1	0	1	 	1	 	1	1	 	0	 	0	 	0	 	1	 	1	 	1	 	2	 	1	 	1	1
1	39	51121R	48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	3	1	1	1	1	1	1	1	1	1	2	1
1	39	51122S	49	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51123T	49	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	3	3	2	2	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	39	51125W	49	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	39	51127Y	49	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	2	2	1	2	2	0	0	0	0	0	0	3	1	1	1	1	1	1	1	1	1	2	1
1	39	51128Z	49	1	1	1	1	1	1	4	4	1	1	3	1	3	1	2	1	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51129A	49	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	1	1	1
1	39	51130B	49	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51131C	49	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	3	1	1	1	1	1	1	1	1	1	1	2
1	39	51132D	49	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	2	1	1
1	39	51133E	49	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	1	 	1	 	0	1	 	0	 	0	 	0	 	1	 	1	 	1	 	1	 	1	 	1	2
1	39	51134F	56	1	0	1	 	0	 	1	 	1	 	1	 	1	 	1	 	1	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51135G	56	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	2
1	39	51136H	56	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	2	1	1	1	1	1	1	1	1
1	39	51137J	56	1	0	1	 	1	 	1	 	1	 	1	 	1	 	1	 	0	0	1	 	1	 	1	1	 	2	 	0	 	0	 	0	 	1	 	1	 	1	 	1	 	1	2	2
1	39	51138K	56	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	2	1	1	1	1	1	1	2	1
1	39	51139L	56	1	0	1	 	1	 	3	 	1	 	3	 	2	 	2	 	1	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51141N	57	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	1
1	39	51142P	57	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51143Q	57	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	1	1	1
1	39	51144R	57	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	39	51145S	57	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	1	 	1	 	 	1	1	0	 	0	 	0	 	3	 	1	 	1	 	1	 	1	 	1	1
1	39	51146T	57	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	1	2	2
1	39	51147V	57	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	1	 	1	 	 	1	 	0	 	0	 	0	 	3	 	1	2	1	 	1	 	1	 	9	9
1	39	51148W	57	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	2
1	39	51149X	57	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	1	 	1	 	1	 	 	2	 	0	 	0	 	0	 	1	 	2	 	2	 	2	 	1	2	2
1	39	51150Y	57	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	2	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	2	2
1	39	51151Z	57	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	1	1	1	1	1	2	1	2	1	1	2	2
1	39	51152A	57	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	1	1	1	1	2	2	0	0	0	0	0	0	3	1	1	2	1	2	1	2	1	2	2	2
