wave	rownum	serial	area	lr7	lr6	lr5	lr4	lr3	lr2	lr1	ll1	ll2	ll3	ll4	ll5	ll6	ll7
1	29	51160J	64	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1	29	51161K	64	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51162L	64	0	0	0	1	0	1	1	1	1	0	0	0	1	1
1	29	51163M	64	2	2	2	2	0	0	0	0	0	0	0	2	2	2
1	29	51164N	64	1	1	0	0	1	0	0	0	0	0	0	0	0	1
1	29	51165P	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51166Q	64	1	1	1	0	0	0	0	0	0	0	0	1	1	1
1	29	51167R	64	0	1	1	0	0	0	0	0	0	0	0	0	0	1
1	29	51168S	65	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51169T	65	2	2	2	2	0	0	2	2	0	0	2	2	2	2
1	29	51170V	65	 	 	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51171W	65	2	2	2	2	0	2	2	2	2	2	2	2	2	2
1	29	51172X	65	2	2	2	0	0	2	2	2	2	0	0	2	2	2
1	29	51173Y	65	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1	29	51174Z	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51175A	65	1	0	1	0	0	0	0	0	0	0	0	1	1	0
1	29	51176B	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51177C	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51178D	65	0	0	0	0	0	2	2	2	2	0	0	0	0	2
1	29	51179E	72	0	2	2	2	0	2	2	2	2	2	2	2	2	2
1	29	51181G	72	2	2	2	2	2	2	2	2	2	2	2	2	2	2
1	29	51182H	72	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51183J	72	2	2	2	2	0	2	2	2	2	0	2	2	2	2
1	29	51184K	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51185L	72	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51186M	72	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51187N	72	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	29	51188P	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51189Q	72	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51192T	73	0	1	0	0	0	0	0	0	0	0	0	0	1	0
1	29	51193V	73	0	0	0	0	0	1	1	1	0	0	0	0	0	0
1	29	51194W	73	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51195X	73	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51196Y	73	1	1	1	0	0	0	0	0	0	0	0	0	0	0
1	29	51197Z	73	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51198A	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51199B	73	1	1	0	0	0	0	0	0	0	0	0	0	1	1
1	29	51200C	73	1	1	1	1	0	0	0	0	0	0	0	1	1	1
1	29	51201D	73	0	1	0	0	0	0	0	0	0	0	0	0	1	0
1	29	51202E	73	0	1	1	0	0	0	0	0	0	0	0	1	0	0
1	29	51204G	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51205H	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51206J	80	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51207K	80	1	1	0	0	0	0	0	0	0	0	0	1	1	1
1	29	51208L	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51209M	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51210N	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51211P	80	1	1	1	0	0	0	0	0	0	0	1	1	1	1
1	29	51212Q	80	1	1	0	0	0	0	0	0	0	0	1	1	1	1
1	29	51213R	80	1	1	1	0	0	0	0	0	0	0	0	1	1	1
1	29	51214S	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	51215T	80	1	0	0	0	0	0	0	0	0	0	0	1	1	1
1	29	51216V	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52217H	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52218J	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52219K	1	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52220L	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52221M	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52222N	8	0	1	1	0	0	0	0	0	0	0	0	1	1	0
1	29	52223P	8	1	1	0	1	0	1	1	1	0	0	0	1	1	1
1	29	52224Q	8	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52225R	9	1	1	0	0	0	0	0	0	0	0	0	1	1	1
1	29	52226S	9	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52227T	17	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52228V	17	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52230X	24	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52231Y	24	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52232Z	32	1	1	1	0	0	0	0	1	0	1	0	1	1	1
1	29	52233A	32	2	2	2	2	0	0	0	0	0	0	2	2	2	2
1	29	52234B	32	0	0	1	0	0	0	0	0	0	0	0	0	1	0
1	29	52236D	32	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52237E	33	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52238F	33	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52239G	40	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52241J	40	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52242K	48	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52243L	48	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52244M	64	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52245N	65	1	1	1	1	1	1	1	0	1	1	1	1	1	1
1	29	52246P	72	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52247Q	73	1	1	1	0	0	0	0	0	0	0	0	1	1	1
1	29	52248R	73	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52249S	73	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52250T	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52251V	80	0	1	0	0	0	0	0	0	0	0	0	0	1	1
1	29	52253X	25	 	 	0	0	0	0	0	0	0	0	0	0	0	0
1	29	52254Y	73	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61001F	2	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61002G	2	1	1	1	1	0	0	0	0	0	0	1	1	1	1
2	29	61003H	2	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61005K	2	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61006L	2	2	2	0	0	0	0	0	0	0	0	0	0	2	2
2	29	61007M	2	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61008N	2	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61009P	2	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61010Q	2	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61012S	2	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61013T	7	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61014V	7	 	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61015W	7	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61018Z	7	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61019A	7	 	 	0	0	0	0	0	0	0	0	0	0	0	0
2	29	61020B	7	1	1	0	0	0	0	0	0	0	0	0	0	1	1
2	29	61021C	7	1	0	0	0	0	0	0	0	0	0	0	0	1	1
